"Question","Answer"
"Article 14 provides for equality before the law and equal protection of the laws.","True"
"Article 15 allows discrimination based on religion, race, caste, sex, or place of birth.","False"
"Article 17 abolishes untouchability and forbids its practice in any form.","True"
"Freedom of speech and expression is a Fundamental Right under Article 21.","False"
"Article 19 guarantees the right to assemble peacefully without arms.","True"
"Right to Education is covered under Article 21A.","True"
"Article 22 provides protection against arrest and detention in certain cases.","True"
"Children under the age of 14 are allowed to work in factories as per Article 24.","False"
"Article 25 grants freedom to manage religious affairs.","False"
"Article 27 states that no person shall be compelled to pay any taxes for the promotion of any particular religion.","True"
"Article 30 grants minorities the right to establish and administer educational institutions.","True"
"The Right against Exploitation includes the prohibition of human trafficking under Article 24.","False"
"Right to Constitutional Remedies allows citizens to move the Supreme Court for the enforcement of Fundamental Rights.","True"
"Article 16 prohibits discrimination in public employment based on gender only.","False"
"The Right to Life and Personal Liberty is guaranteed under Article 21.","True"

"It is the duty of every Indian citizen to respect the Constitution and its ideals.","True"
"One of the Fundamental Duties is to uphold and protect the sovereignty, unity, and integrity of India.","True"
"Promoting harmony and the spirit of common brotherhood among all people of India is not a Fundamental Duty.","False"
"It is a Fundamental Duty to cherish and follow the noble ideals that inspired India's freedom struggle.","True"
"Indian citizens have a duty to safeguard public property and to abjure violence.","True"
"Protecting the natural environment, including forests, lakes, rivers, and wildlife, is not a duty of Indian citizens.","False"
"Every Indian citizen should develop a scientific temper, humanism, and the spirit of inquiry and reform.","True"
"Providing free and compulsory education to children is solely the duty of the government and not of the citizens.","False"
"It is the duty of every citizen to strive towards excellence in all spheres of individual and collective activity.","True"
"Respecting the national flag and the national anthem is not considered a Fundamental Duty.","False"
"Parents or guardians must provide opportunities for education to their children or wards between the ages of six and fourteen.","True"
"Citizens do not have a duty to protect and improve the natural environment.","False"
"One of the duties is to renounce practices derogatory to the dignity of women.","True"
"Participating in elections is a Fundamental Duty of every Indian citizen.","False"
"Preserving the rich heritage of India's composite culture is a Fundamental Duty.","True"
